filename,class_name,class_idx
mnist_00000.png,6,6
mnist_00001.png,9,9
mnist_00002.png,1,1
mnist_00003.png,9,9
mnist_00004.png,1,1
mnist_00005.png,0,0
mnist_00006.png,5,5
mnist_00007.png,5,5
mnist_00008.png,4,4
mnist_00009.png,3,3
mnist_00010.png,6,6
mnist_00011.png,4,4
mnist_00012.png,8,8
mnist_00013.png,6,6
mnist_00014.png,9,9
mnist_00015.png,7,7
mnist_00016.png,1,1
mnist_00017.png,8,8
mnist_00018.png,0,0
mnist_00019.png,0,0
mnist_00020.png,4,4
mnist_00021.png,8,8
mnist_00022.png,8,8
mnist_00023.png,9,9
mnist_00024.png,9,9
mnist_00025.png,3,3
mnist_00026.png,4,4
mnist_00027.png,9,9
mnist_00028.png,4,4
mnist_00029.png,0,0
mnist_00030.png,6,6
mnist_00031.png,7,7
mnist_00032.png,5,5
mnist_00033.png,1,1
mnist_00034.png,8,8
mnist_00035.png,8,8
mnist_00036.png,4,4
mnist_00037.png,5,5
mnist_00038.png,0,0
mnist_00039.png,8,8
mnist_00040.png,7,7
mnist_00041.png,5,5
mnist_00042.png,8,8
mnist_00043.png,2,2
mnist_00044.png,2,2
mnist_00045.png,4,4
mnist_00046.png,3,3
mnist_00047.png,8,8
mnist_00048.png,1,1
mnist_00049.png,4,4
mnist_00050.png,3,3
mnist_00051.png,2,2
mnist_00052.png,1,1
mnist_00053.png,2,2
mnist_00054.png,5,5
mnist_00055.png,4,4
mnist_00056.png,6,6
mnist_00057.png,2,2
mnist_00058.png,1,1
mnist_00059.png,6,6
mnist_00060.png,0,0
mnist_00061.png,9,9
mnist_00062.png,4,4
mnist_00063.png,1,1
mnist_00064.png,2,2
mnist_00065.png,7,7
mnist_00066.png,3,3
mnist_00067.png,4,4
mnist_00068.png,1,1
mnist_00069.png,1,1
mnist_00070.png,6,6
mnist_00071.png,3,3
mnist_00072.png,0,0
mnist_00073.png,0,0
mnist_00074.png,8,8
mnist_00075.png,1,1
mnist_00076.png,4,4
mnist_00077.png,6,6
mnist_00078.png,0,0
mnist_00079.png,1,1
mnist_00080.png,7,7
mnist_00081.png,9,9
mnist_00082.png,3,3
mnist_00083.png,5,5
mnist_00084.png,5,5
mnist_00085.png,6,6
mnist_00086.png,0,0
mnist_00087.png,7,7
mnist_00088.png,5,5
mnist_00089.png,2,2
mnist_00090.png,8,8
mnist_00091.png,0,0
mnist_00092.png,1,1
mnist_00093.png,0,0
mnist_00094.png,1,1
mnist_00095.png,6,6
mnist_00096.png,2,2
mnist_00097.png,0,0
mnist_00098.png,5,5
mnist_00099.png,0,0
mnist_00100.png,8,8
mnist_00101.png,2,2
mnist_00102.png,3,3
mnist_00103.png,9,9
mnist_00104.png,8,8
mnist_00105.png,2,2
mnist_00106.png,1,1
mnist_00107.png,9,9
mnist_00108.png,6,6
mnist_00109.png,8,8
mnist_00110.png,4,4
mnist_00111.png,7,7
mnist_00112.png,1,1
mnist_00113.png,1,1
mnist_00114.png,1,1
mnist_00115.png,9,9
mnist_00116.png,1,1
mnist_00117.png,1,1
mnist_00118.png,7,7
mnist_00119.png,9,9
mnist_00120.png,5,5
mnist_00121.png,1,1
mnist_00122.png,7,7
mnist_00123.png,9,9
mnist_00124.png,9,9
mnist_00125.png,9,9
mnist_00126.png,6,6
mnist_00127.png,1,1
mnist_00128.png,3,3
mnist_00129.png,8,8
mnist_00130.png,1,1
mnist_00131.png,6,6
mnist_00132.png,9,9
mnist_00133.png,7,7
mnist_00134.png,6,6
mnist_00135.png,3,3
mnist_00136.png,9,9
mnist_00137.png,2,2
mnist_00138.png,7,7
mnist_00139.png,7,7
mnist_00140.png,2,2
mnist_00141.png,9,9
mnist_00142.png,2,2
mnist_00143.png,2,2
mnist_00144.png,6,6
mnist_00145.png,9,9
mnist_00146.png,9,9
mnist_00147.png,5,5
mnist_00148.png,5,5
mnist_00149.png,1,1
mnist_00150.png,8,8
mnist_00151.png,4,4
